"No.","Time","Source","Destination","Protocol","Length","Info"
"948","2.999950","192.168.8.117","66.22.238.13","UDP","1225","59318  >  50003 Len=1183"
"949","3.000031","192.168.8.117","66.22.238.13","UDP","1225","59318  >  50003 Len=1183"
"950","3.000055","192.168.8.117","66.22.238.13","UDP","1225","59318  >  50003 Len=1183"
"951","3.000083","192.168.8.117","66.22.238.13","UDP","1225","59318  >  50003 Len=1183"
"952","3.000102","192.168.8.117","66.22.238.13","UDP","1225","59318  >  50003 Len=1183"
"953","3.005747","192.168.8.117","66.22.238.13","UDP","1225","59318  >  50003 Len=1183"
"954","3.008845","66.22.238.4","192.168.8.117","UDP","335","50020  >  57430 Len=293"
"955","3.025933","66.22.238.4","192.168.8.117","UDP","341","50020  >  57430 Len=299"
"956","3.033097","192.168.8.117","66.22.238.13","UDP","1242","59318  >  50003 Len=1200"
"957","3.033170","192.168.8.117","66.22.238.13","UDP","1242","59318  >  50003 Len=1200"
"958","3.033191","192.168.8.117","66.22.238.13","UDP","1242","59318  >  50003 Len=1200"
"959","3.033210","192.168.8.117","66.22.238.13","UDP","1242","59318  >  50003 Len=1200"
"960","3.033237","192.168.8.117","66.22.238.13","UDP","1242","59318  >  50003 Len=1200"
"961","3.038598","66.22.238.4","192.168.8.117","UDP","333","50020  >  57430 Len=291"
"962","3.056340","192.168.8.117","66.22.238.13","RTCP","102","Sender Report   "
"963","3.065866","66.22.238.4","192.168.8.117","UDP","322","50020  >  57430 Len=280"
"964","3.069422","192.168.8.117","66.22.238.13","UDP","1230","59318  >  50003 Len=1188"
